smiles,min_bde_pred,Group
CC(C)(C)N=NC(C)(CCC(O)=O)C(N)=O,61.200768,0
CON=C(C(O)=O)C1=CC(O)=CC=C1,22.912872,0
C1C[C@H]2C=C(CCN2C1)C1=NNC(=C1C1=CC=NC=C1)C1=CC=CC=C1,24.579395,0
CC1=CC=C(OC(=O)CCC(=O)OOC(=O)CCC(=O)OC2=CC=C(C)C=C2)C=C1,22.672329,0
CC1=CC(=O)C(C=O)=C(C)N1,16.653645,0
CC1=CC(=NC=C1)N1CCN(CCC2=C(CO)N3CCCC4=CC=CC2=C34)CC1,29.092655,0
CCOC(=O)CN1C(=O)C(=O)NC2=C1C1=C(CC2)CCC(=C1)N1C=CC(=C1)C(=O)NCC1=CC=CC=C1,26.660408,0
NC1=NC(=CC=C1)C1=CC=C(CCN2CCC(C2)C2=CC=CC=C2)C=C1,20.918156,0
CCCCCCCCOC1=CC(C2=CC(NC(C)=O)=CC=C2)=C(OCC(O)=O)C(=C1)C1=CC(NC(C)=O)=CC=C1,19.272064,0
COC1=NC(C)=C(C)N=C1NC(=O)N1CCN(CC1)C1=CC(N)=CC(N)=C1,27.318645,0
COC1=NC(C)=C(C)N=C1N(C)C(=O)N1CCN(CC1)C1=CC(N)=CC(N)=C1,27.318645,0
COC1=NC2=CC=CC=C2N=C1NC(=O)N1CCN(CC1)C1=CC(N)=CC(N)=C1,13.007779,0
COC1=NC2=CC=CC=C2N=C1N(C)C(=O)N1CCN(CC1)C1=CC(N)=CC(N)=C1,12.972864,0
CC(C)N1C(=O)N=CC2=CN=C(NC3=CC=C(C=C3)N3CCC(CC3)N(C)C)N=C12,12.161137,0
CCN(CC)C1=CC2=C(C=C(O2)C(=O)C2=CC=C(C=C2)C#N)C=C1,12.656529,0
COC1=CC=C(NN=C(CN)C2=CC=CC=C2)C=C1,21.55743,0
CC1=CC=C2C(NC=C2C2=CCN(C[C@H](O)COC3=C4C=CNC4=CC=C3)CC2)=C1,27.603355,0
OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CCN(CC(O)=O)C(COCC1=CC=CC=C1)C(=O)NCCC=O,27.272934,0
CC(C(O)=O)C(=O)C(C)(C)C,73.524864,0
CC1=CC=C(C)N1C1=CC2=C(CCN(CC2)C(=O)NC2=CC=C(OC3=CC=CN=C3C)N=C2)C=C1,10.80835,0
COC1=C(C=C(C=C1C1=CC(C=CC(O)=O)=CC=C1)C(=O)NCCCCCCCCC1=CC=CC=C1)C1=CC(C=CC(O)=O)=CC=C1,16.815903,0
CC[C@@H]1[C@H](CC(O)=O)NC1=O,63.377533,0
CCOC(=O)C1CN(C)C2CC3=CNC4=C3C(=CC=C4)C12,30.11189,0
CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O,52.47712,0
COC1=CC=C(CC(C(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)OC(C)(C)C)C=C1,21.895191,0
CN1CCN(CCOCCN2C3=C(C=CC=C3)C(=NC(NC(=O)C3=CC4=CC=CC=C4N3)C2=O)C2=CC=CC=C2)CC1,16.010986,0
COC1=C(CN[C@H]2CCCN(CCCC(O)=O)[C@H]2C2=CC=CC=C2)C=CC=C1,19.542698,0
CN(N=O)C(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,58.83968,0
OC(=O)CCCCOC1=CC=C(C=C1)C(=N)NC(=O)OCC1=CC=CC=C1,20.720732,0
CC1(C)NCC(=O)N1CC(=O)NCC(N)=O,55.986748,0
CCOC(=O)CCOC1=CC2=C(C(=O)C(N)=O)C(CC)=C(CC3=C(C=CC=C3)C3=CC=CC=C3)N2C=C1,23.614994,0
CCN(N=O)C(=O)N[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,59.230675,0
CC(C)(N=NC(C)(C)C(=N)NCCCC(O)=O)C(=N)NCCCC(O)=O,59.12993,0
O=C(CC(NC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)=O)NC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,63.70781,0
CC(C)(C)OC(=O)NC(=O)C(N)C1=CC(O)=C(O)C=C1,12.484444,0
COC1=C(OC)C=C(NN)C=C1,14.128559,0
