smiles,Group
COC1=CC=C(CN2N=NC(=N2)C(O)=O)C=C1,0
[N-]=[N+]=NC1=C2C(=O)N(CCCCCCN3C(=O)C4=CC=CC(N=[N+]=[N-])=C4C3=O)C(=O)C2=CC=C1,0
CN([N+]([O-])=O)CN([N+]([O-])=O)C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,0
CC(C)(C)N1CCN(CCCC2(C)CN3C=C(N=C3O2)[N+]([O-])=O)CC1=O,0
O=[N+](NC(N=N1)=NN2C1=NN=C2)[O-],0
O=[N+](C1=C(N=[N+]=[N-])C([N+]([O-])=O)=NN1CC2=NN=NN2)[O-],0
CCC1=NC2=CC=NN2C(=C1)N(C)CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1,0
CC(=NO)C(C)(C)NCCONC(C)(C)C(CN1C=CN=C1[N+]([O-])=O)=NO,0
[O-][N+](=O)C1=CC=C(O1)C1=NN(CC2=CC=CC=C2)C2=CC=CC=C12,0
[O-][N+](=O)C1=CC=CC2=NC3=CC=CC=C3C(OC3=CC=CC=C3)=C12,0
COC1=C(C=CC(CCN)=C1)[N+]([O-])=O,0
CN(C)C(=O)N1N=NC(=N1)C1=CC(=NC=C1)C1=NN(N=N1)C(=O)N(C)C,0
OC(=O)C1=C(N\C=C\[N+]([O-])=O)C=CC(=C1)C1=CC=CC=C1,0
COC1=CC2=C(C=C1OC)C1=NN(C=C1CC2)C1=CC=C(C=C1)[N+]([O-])=O,0
[N-]=[N+]=NC(N=N1)=NN2C1=NN=C2N[N+]([O-])=O,0
CN1N=C([N+]([O-])=O)N=N1,0
CN(CC(NC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O)=O)[N+]([O-])=O,0
O=[N+](C1=NON=C1N([N+]([O-])=O)CN([N+]([O-])=O)CN([N+]([O-])=O)C2=NON=C2[N+]([O-])=O)[O-],0
O=[N+](N(CC(O[N+]([O-])=O)CN([N+]([O-])=O)C(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)C(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)[O-],0
[N-]=[N+]=N[C@@H]1CC[C@H](CNC1=O)C1=CC=CC=C1,0
CCCCC1=NC=C2C=CCC(N12)C1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1,0
CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,0
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)N1N=C([N+]([O-])=O)N=C1C2=NN(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C=N2)[O-],0
CCCCC1=C(CC2=CC=C(C=C2)C2=C(C=CC=C2)C2=NN=NN2C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C(=O)N(CC2=C(C=CO2)C#N)C(C)=N1,0
CN(CC(O)=O)[N+]([O-])=O,0
O=C(OCC)NC1=NON=C1[N+]([O-])=O,0
CN1C([N+]([O-])=O)=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N1,0
COC(=O)C(C(=O)OC)C1=C(C=C(C2=CC=CC=C12)[N+]([O-])=O)C(O)=O,0
O=C(OC(N/1)C(OC(C)=O)NC1=C([N+]([O-])=O)/[N+]([O-])=O)C,0
OC1=CC=C2C=CC=C(N3C(=O)C4=CC=CC(N=[N+]=[N-])=C4C3=O)C2=C1,0
CCCCN1C=C(CCCC)N(CC2=CC=C(C=C2)C2=C(C=CC=C2)C2=NN=NN2)C1=O,0
[O-]/[N+](C1=C(N)N2C(N=N1)=NC([N+]([O-])=O)=N2)=N\[N+]([O-])=O,0
NC(OC(C)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,0
O=[N+](N(CN([N+]([O-])=O)C1=NON=C1C2=NNN=N2)C3=NON=C3C4=NNN=N4)[O-],0
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NNC=C1[N+]([O-])=O)[O-],0
CCN1C=CC(=CC2=C(C=CC=C2[N+]([O-])=O)[N+]([O-])=O)C2=CC=CC=C12,0
CCCCC1=NC=C2N1C(CCC2=CC(O)=O)C1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1,0
CCOC(=O)C(=CNC1=C2NC=C(C(=O)OCC)C(=O)C2=CC(=C1)[N+]([O-])=O)C(=O)OCC,0
[O-][N+](=O)C1=CC=C(OC(=O)C2=NC=CC=C2)C=C1,0
COCC(C(C)=CC(CNC(=O)C1=CC=NC=C1)=NO)[N+]([O-])=O,0
OC(=O)CNC1=C(C2=CC=CC=C2C=C1)[N+]([O-])=O,0
